monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
C1CCCCCCC1,RER,FALSE,[*]CCCCCCCC[*],3.00,,,,,,298.15,,dft,-18.51636315,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1=CCCC1,RER,FALSE,[*]CCCCC=[*],3.00,,,,,,298.15,,dft,-4.043415373,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=S1(=O)CCCO1,RER,FALSE,[*]CCCS(=O)(=O)O[*],3.00,,,,,,298.15,,dft,-13.92313408,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC(C)(C)OC(=O)N1CCOC(=O)C1,RER,FALSE,[*]OCCN(CC([*])=O)C(=O)OC(C)(C)C,3.00,,,,,,298.15,,dft,-1.046487956,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C(OCC)CCCCC1CCSS1,RER,FALSE,[*]SCCC(CCCCC(OCC)=O)S[*],3.00,,,,,,298.15,,dft,4.410939685,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCOC1,RER,FALSE,[*]OCC(C)CC[*],3.00,,,,,,298.15,,dft,7.9565,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CC1,RER,FALSE,[*]CC(C)C[*],3.00,,,,,,298.15,,dft,-61.92704099,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCC1,RER,FALSE,[*]CCC(C)C[*],3.00,,,,,,298.15,,dft,-66.83285016,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCCC1,RER,FALSE,[*]CCCC(C)C[*],3.00,,,,,,298.15,,dft,4.470796813,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCCCC1,RER,FALSE,[*]CC(C)CCCC[*],3.00,,,,,,298.15,,dft,19.528556,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)CC1,RER,FALSE,[*]CC(C)(C)C[*],3.00,,,,,,298.15,,dft,-62.4445,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)CCCC1,RER,FALSE,[*]CC(C)(C)CCC[*],3.00,,,,,,298.15,,dft,18.18336602,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)CCCCC1,RER,FALSE,[*]CC(C)(CCCC[*])C,3.00,,,,,,298.15,,dft,37.13267441,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1CCCCCO1,RER,FALSE,[*]CCCCCC(=S)O[*],3.00,,,,,,298.15,,dft,-2.129801604,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1S[C@@H]2CC[C@H]1C2,RER,FALSE,[*]SC1CCC(C([*])=O)C1,3.00,,,,,,298.15,,dft,11.92158339,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)SCCSC1=O,RER,FALSE,[*]CCSC(C)(C)C(=O)S[*],3.00,,,,,,298.15,,dft,-14.43999878,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
